evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 4:00:00 PM,2/24/2026 11:00:00 AM,2/24/2026 5:00:00 PM,2/24/2026 12:00:00 PM,RTO_COMBINED,111954
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 5:00:00 PM,2/24/2026 12:00:00 PM,2/24/2026 6:00:00 PM,2/24/2026 1:00:00 PM,RTO_COMBINED,109343
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 6:00:00 PM,2/24/2026 1:00:00 PM,2/24/2026 7:00:00 PM,2/24/2026 2:00:00 PM,RTO_COMBINED,107521
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 7:00:00 PM,2/24/2026 2:00:00 PM,2/24/2026 8:00:00 PM,2/24/2026 3:00:00 PM,RTO_COMBINED,106181
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 8:00:00 PM,2/24/2026 3:00:00 PM,2/24/2026 9:00:00 PM,2/24/2026 4:00:00 PM,RTO_COMBINED,106275
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 9:00:00 PM,2/24/2026 4:00:00 PM,2/24/2026 10:00:00 PM,2/24/2026 5:00:00 PM,RTO_COMBINED,108774
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 10:00:00 PM,2/24/2026 5:00:00 PM,2/24/2026 11:00:00 PM,2/24/2026 6:00:00 PM,RTO_COMBINED,113496
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/24/2026 11:00:00 PM,2/24/2026 6:00:00 PM,2/25/2026 12:00:00 AM,2/24/2026 7:00:00 PM,RTO_COMBINED,117732
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 12:00:00 AM,2/24/2026 7:00:00 PM,2/25/2026 1:00:00 AM,2/24/2026 8:00:00 PM,RTO_COMBINED,118278
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 1:00:00 AM,2/24/2026 8:00:00 PM,2/25/2026 2:00:00 AM,2/24/2026 9:00:00 PM,RTO_COMBINED,117210
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 2:00:00 AM,2/24/2026 9:00:00 PM,2/25/2026 3:00:00 AM,2/24/2026 10:00:00 PM,RTO_COMBINED,114766
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 3:00:00 AM,2/24/2026 10:00:00 PM,2/25/2026 4:00:00 AM,2/24/2026 11:00:00 PM,RTO_COMBINED,110641
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 4:00:00 AM,2/24/2026 11:00:00 PM,2/25/2026 5:00:00 AM,2/25/2026 12:00:00 AM,RTO_COMBINED,106731
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 5:00:00 AM,2/25/2026 12:00:00 AM,2/25/2026 6:00:00 AM,2/25/2026 1:00:00 AM,RTO_COMBINED,101757
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 6:00:00 AM,2/25/2026 1:00:00 AM,2/25/2026 7:00:00 AM,2/25/2026 2:00:00 AM,RTO_COMBINED,99816
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 7:00:00 AM,2/25/2026 2:00:00 AM,2/25/2026 8:00:00 AM,2/25/2026 3:00:00 AM,RTO_COMBINED,98682
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 8:00:00 AM,2/25/2026 3:00:00 AM,2/25/2026 9:00:00 AM,2/25/2026 4:00:00 AM,RTO_COMBINED,98480
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 9:00:00 AM,2/25/2026 4:00:00 AM,2/25/2026 10:00:00 AM,2/25/2026 5:00:00 AM,RTO_COMBINED,99864
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 10:00:00 AM,2/25/2026 5:00:00 AM,2/25/2026 11:00:00 AM,2/25/2026 6:00:00 AM,RTO_COMBINED,103633
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 11:00:00 AM,2/25/2026 6:00:00 AM,2/25/2026 12:00:00 PM,2/25/2026 7:00:00 AM,RTO_COMBINED,109925
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 12:00:00 PM,2/25/2026 7:00:00 AM,2/25/2026 1:00:00 PM,2/25/2026 8:00:00 AM,RTO_COMBINED,113812
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 1:00:00 PM,2/25/2026 8:00:00 AM,2/25/2026 2:00:00 PM,2/25/2026 9:00:00 AM,RTO_COMBINED,113313
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 2:00:00 PM,2/25/2026 9:00:00 AM,2/25/2026 3:00:00 PM,2/25/2026 10:00:00 AM,RTO_COMBINED,110808
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 3:00:00 PM,2/25/2026 10:00:00 AM,2/25/2026 4:00:00 PM,2/25/2026 11:00:00 AM,RTO_COMBINED,108080
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 4:00:00 PM,2/25/2026 11:00:00 AM,2/25/2026 5:00:00 PM,2/25/2026 12:00:00 PM,RTO_COMBINED,105507
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 5:00:00 PM,2/25/2026 12:00:00 PM,2/25/2026 6:00:00 PM,2/25/2026 1:00:00 PM,RTO_COMBINED,103140
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 6:00:00 PM,2/25/2026 1:00:00 PM,2/25/2026 7:00:00 PM,2/25/2026 2:00:00 PM,RTO_COMBINED,101564
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 7:00:00 PM,2/25/2026 2:00:00 PM,2/25/2026 8:00:00 PM,2/25/2026 3:00:00 PM,RTO_COMBINED,100306
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 8:00:00 PM,2/25/2026 3:00:00 PM,2/25/2026 9:00:00 PM,2/25/2026 4:00:00 PM,RTO_COMBINED,100103
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 9:00:00 PM,2/25/2026 4:00:00 PM,2/25/2026 10:00:00 PM,2/25/2026 5:00:00 PM,RTO_COMBINED,101497
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 10:00:00 PM,2/25/2026 5:00:00 PM,2/25/2026 11:00:00 PM,2/25/2026 6:00:00 PM,RTO_COMBINED,104707
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/25/2026 11:00:00 PM,2/25/2026 6:00:00 PM,2/26/2026 12:00:00 AM,2/25/2026 7:00:00 PM,RTO_COMBINED,107342
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 12:00:00 AM,2/25/2026 7:00:00 PM,2/26/2026 1:00:00 AM,2/25/2026 8:00:00 PM,RTO_COMBINED,107210
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 1:00:00 AM,2/25/2026 8:00:00 PM,2/26/2026 2:00:00 AM,2/25/2026 9:00:00 PM,RTO_COMBINED,105976
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 2:00:00 AM,2/25/2026 9:00:00 PM,2/26/2026 3:00:00 AM,2/25/2026 10:00:00 PM,RTO_COMBINED,103415
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 3:00:00 AM,2/25/2026 10:00:00 PM,2/26/2026 4:00:00 AM,2/25/2026 11:00:00 PM,RTO_COMBINED,99330
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 4:00:00 AM,2/25/2026 11:00:00 PM,2/26/2026 5:00:00 AM,2/26/2026 12:00:00 AM,RTO_COMBINED,95311
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 5:00:00 AM,2/26/2026 12:00:00 AM,2/26/2026 6:00:00 AM,2/26/2026 1:00:00 AM,RTO_COMBINED,92537
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 6:00:00 AM,2/26/2026 1:00:00 AM,2/26/2026 7:00:00 AM,2/26/2026 2:00:00 AM,RTO_COMBINED,90762
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 7:00:00 AM,2/26/2026 2:00:00 AM,2/26/2026 8:00:00 AM,2/26/2026 3:00:00 AM,RTO_COMBINED,90018
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 8:00:00 AM,2/26/2026 3:00:00 AM,2/26/2026 9:00:00 AM,2/26/2026 4:00:00 AM,RTO_COMBINED,90137
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 9:00:00 AM,2/26/2026 4:00:00 AM,2/26/2026 10:00:00 AM,2/26/2026 5:00:00 AM,RTO_COMBINED,91864
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 10:00:00 AM,2/26/2026 5:00:00 AM,2/26/2026 11:00:00 AM,2/26/2026 6:00:00 AM,RTO_COMBINED,96254
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 11:00:00 AM,2/26/2026 6:00:00 AM,2/26/2026 12:00:00 PM,2/26/2026 7:00:00 AM,RTO_COMBINED,103040
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 12:00:00 PM,2/26/2026 7:00:00 AM,2/26/2026 1:00:00 PM,2/26/2026 8:00:00 AM,RTO_COMBINED,107424
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 1:00:00 PM,2/26/2026 8:00:00 AM,2/26/2026 2:00:00 PM,2/26/2026 9:00:00 AM,RTO_COMBINED,107501
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 2:00:00 PM,2/26/2026 9:00:00 AM,2/26/2026 3:00:00 PM,2/26/2026 10:00:00 AM,RTO_COMBINED,105823
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 3:00:00 PM,2/26/2026 10:00:00 AM,2/26/2026 4:00:00 PM,2/26/2026 11:00:00 AM,RTO_COMBINED,103992
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 4:00:00 PM,2/26/2026 11:00:00 AM,2/26/2026 5:00:00 PM,2/26/2026 12:00:00 PM,RTO_COMBINED,102201
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 5:00:00 PM,2/26/2026 12:00:00 PM,2/26/2026 6:00:00 PM,2/26/2026 1:00:00 PM,RTO_COMBINED,100719
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 6:00:00 PM,2/26/2026 1:00:00 PM,2/26/2026 7:00:00 PM,2/26/2026 2:00:00 PM,RTO_COMBINED,99752
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 7:00:00 PM,2/26/2026 2:00:00 PM,2/26/2026 8:00:00 PM,2/26/2026 3:00:00 PM,RTO_COMBINED,98937
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 8:00:00 PM,2/26/2026 3:00:00 PM,2/26/2026 9:00:00 PM,2/26/2026 4:00:00 PM,RTO_COMBINED,98943
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 9:00:00 PM,2/26/2026 4:00:00 PM,2/26/2026 10:00:00 PM,2/26/2026 5:00:00 PM,RTO_COMBINED,100682
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 10:00:00 PM,2/26/2026 5:00:00 PM,2/26/2026 11:00:00 PM,2/26/2026 6:00:00 PM,RTO_COMBINED,103866
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/26/2026 11:00:00 PM,2/26/2026 6:00:00 PM,2/27/2026 12:00:00 AM,2/26/2026 7:00:00 PM,RTO_COMBINED,106173
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 12:00:00 AM,2/26/2026 7:00:00 PM,2/27/2026 1:00:00 AM,2/26/2026 8:00:00 PM,RTO_COMBINED,105870
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 1:00:00 AM,2/26/2026 8:00:00 PM,2/27/2026 2:00:00 AM,2/26/2026 9:00:00 PM,RTO_COMBINED,104643
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 2:00:00 AM,2/26/2026 9:00:00 PM,2/27/2026 3:00:00 AM,2/26/2026 10:00:00 PM,RTO_COMBINED,102062
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 3:00:00 AM,2/26/2026 10:00:00 PM,2/27/2026 4:00:00 AM,2/26/2026 11:00:00 PM,RTO_COMBINED,98115
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 4:00:00 AM,2/26/2026 11:00:00 PM,2/27/2026 5:00:00 AM,2/27/2026 12:00:00 AM,RTO_COMBINED,94126
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 5:00:00 AM,2/27/2026 12:00:00 AM,2/27/2026 6:00:00 AM,2/27/2026 1:00:00 AM,RTO_COMBINED,92519
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 6:00:00 AM,2/27/2026 1:00:00 AM,2/27/2026 7:00:00 AM,2/27/2026 2:00:00 AM,RTO_COMBINED,90948
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 7:00:00 AM,2/27/2026 2:00:00 AM,2/27/2026 8:00:00 AM,2/27/2026 3:00:00 AM,RTO_COMBINED,90339
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 8:00:00 AM,2/27/2026 3:00:00 AM,2/27/2026 9:00:00 AM,2/27/2026 4:00:00 AM,RTO_COMBINED,90702
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 9:00:00 AM,2/27/2026 4:00:00 AM,2/27/2026 10:00:00 AM,2/27/2026 5:00:00 AM,RTO_COMBINED,92595
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 10:00:00 AM,2/27/2026 5:00:00 AM,2/27/2026 11:00:00 AM,2/27/2026 6:00:00 AM,RTO_COMBINED,97009
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 11:00:00 AM,2/27/2026 6:00:00 AM,2/27/2026 12:00:00 PM,2/27/2026 7:00:00 AM,RTO_COMBINED,103754
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 12:00:00 PM,2/27/2026 7:00:00 AM,2/27/2026 1:00:00 PM,2/27/2026 8:00:00 AM,RTO_COMBINED,108229
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 1:00:00 PM,2/27/2026 8:00:00 AM,2/27/2026 2:00:00 PM,2/27/2026 9:00:00 AM,RTO_COMBINED,108012
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 2:00:00 PM,2/27/2026 9:00:00 AM,2/27/2026 3:00:00 PM,2/27/2026 10:00:00 AM,RTO_COMBINED,105392
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 3:00:00 PM,2/27/2026 10:00:00 AM,2/27/2026 4:00:00 PM,2/27/2026 11:00:00 AM,RTO_COMBINED,102511
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 4:00:00 PM,2/27/2026 11:00:00 AM,2/27/2026 5:00:00 PM,2/27/2026 12:00:00 PM,RTO_COMBINED,99970
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 5:00:00 PM,2/27/2026 12:00:00 PM,2/27/2026 6:00:00 PM,2/27/2026 1:00:00 PM,RTO_COMBINED,97646
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 6:00:00 PM,2/27/2026 1:00:00 PM,2/27/2026 7:00:00 PM,2/27/2026 2:00:00 PM,RTO_COMBINED,96044
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 7:00:00 PM,2/27/2026 2:00:00 PM,2/27/2026 8:00:00 PM,2/27/2026 3:00:00 PM,RTO_COMBINED,94840
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 8:00:00 PM,2/27/2026 3:00:00 PM,2/27/2026 9:00:00 PM,2/27/2026 4:00:00 PM,RTO_COMBINED,94828
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 9:00:00 PM,2/27/2026 4:00:00 PM,2/27/2026 10:00:00 PM,2/27/2026 5:00:00 PM,RTO_COMBINED,96751
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 10:00:00 PM,2/27/2026 5:00:00 PM,2/27/2026 11:00:00 PM,2/27/2026 6:00:00 PM,RTO_COMBINED,100327
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/27/2026 11:00:00 PM,2/27/2026 6:00:00 PM,2/28/2026 12:00:00 AM,2/27/2026 7:00:00 PM,RTO_COMBINED,103202
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/28/2026 12:00:00 AM,2/27/2026 7:00:00 PM,2/28/2026 1:00:00 AM,2/27/2026 8:00:00 PM,RTO_COMBINED,103578
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/28/2026 1:00:00 AM,2/27/2026 8:00:00 PM,2/28/2026 2:00:00 AM,2/27/2026 9:00:00 PM,RTO_COMBINED,103070
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/28/2026 2:00:00 AM,2/27/2026 9:00:00 PM,2/28/2026 3:00:00 AM,2/27/2026 10:00:00 PM,RTO_COMBINED,101624
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/28/2026 3:00:00 AM,2/27/2026 10:00:00 PM,2/28/2026 4:00:00 AM,2/27/2026 11:00:00 PM,RTO_COMBINED,98951
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/28/2026 4:00:00 AM,2/27/2026 11:00:00 PM,2/28/2026 5:00:00 AM,2/28/2026 12:00:00 AM,RTO_COMBINED,95844
